time (days since 1610-01-01),irradiance (W/m^2),uncertainty (W/m^2)
99346.0,1360.8076171875,0.45446866750717163
99347.0,1360.843994140625,0.481399267911911
99348.0,1360.739990234375,0.4874149262905121
99349.0,1360.8524169921875,0.461262971162796
99350.0,1360.6236572265625,0.463177353143692
99351.0,1360.55517578125,0.48224422335624695
99352.0,1360.720947265625,0.5061397552490234
99353.0,1360.89208984375,0.4804418981075287
99354.0,1360.867919921875,0.4442392885684967
99355.0,1360.781005859375,0.4495123326778412
99356.0,1360.765625,0.4694617986679077
99357.0,1360.742919921875,0.4877620339393616
99358.0,1360.662353515625,0.49446067214012146
99359.0,1360.8167724609375,0.4945077896118164
99360.0,1360.9056396484375,0.49662455916404724
99361.0,1360.868408203125,0.49592411518096924
99362.0,1360.8074951171875,0.47697731852531433
99363.0,1360.7659912109375,0.4569903016090393
99364.0,1360.751953125,0.47264719009399414
99365.0,1360.834716796875,0.4915381968021393
99366.0,1360.8411865234375,0.5091296434402466
99367.0,1360.8409423828125,0.49717196822166443
99368.0,1360.83642578125,0.49929147958755493
99369.0,1360.779052734375,0.5087707042694092
99370.0,1360.8345947265625,0.495932400226593
99371.0,1360.7564697265625,0.49786534905433655
99372.0,1360.7698974609375,0.5046879053115845
99373.0,1360.676513671875,0.5379019379615784
99374.0,1360.792236328125,0.5262558460235596
99375.0,1360.8419189453125,0.5253831148147583
99376.0,1360.8409423828125,0.5229495167732239
99377.0,1360.78076171875,0.5236403346061707
99378.0,1360.783203125,0.5314207077026367
99379.0,1360.79443359375,0.5117456912994385
99380.0,1360.8936767578125,0.5261520743370056
99381.0,1360.851318359375,0.5224884152412415
99382.0,1360.82177734375,0.5424295663833618
99383.0,1360.648193359375,0.5938007831573486
99384.0,1360.4036865234375,0.6052111387252808
99385.0,1360.49267578125,0.599602997303009
99386.0,1360.4796142578125,0.6123959422111511
99387.0,1360.5931396484375,0.5908821821212769
99388.0,1360.5262451171875,0.6116641759872437
99389.0,1360.6605224609375,0.5977062582969666
99390.0,1360.60498046875,0.6476677656173706
99391.0,1360.529541015625,0.6586384177207947
99392.0,1360.624755859375,0.626994252204895
99393.0,1360.82568359375,0.6115541458129883
99394.0,1360.9102783203125,0.6083682179450989
99395.0,1361.0220947265625,0.5565210580825806
99396.0,1360.931884765625,0.5445024967193604
99397.0,1360.854736328125,0.5301383137702942
99398.0,1360.8287353515625,0.5286393165588379
99399.0,1360.91748046875,0.506683349609375
99400.0,1361.015625,0.51688551902771
99401.0,1361.0618896484375,0.5099076628684998
99402.0,1361.1258544921875,0.5052800178527832
99403.0,1361.0819091796875,0.49551889300346375
99404.0,1360.9481201171875,0.4696146547794342
99405.0,1360.8924560546875,0.4711402952671051
99406.0,1360.8218994140625,0.4984169006347656
99407.0,1360.58935546875,0.5380744934082031
99408.0,1360.47802734375,0.5503081679344177
99409.0,1360.632568359375,0.5265287756919861
99410.0,1360.6881103515625,0.5533760786056519
99411.0,1360.7501220703125,0.5723345279693604
99412.0,1360.63818359375,0.5856161713600159
99413.0,1360.5787353515625,0.5916584134101868
99414.0,1360.7353515625,0.6269380450248718
99415.0,1360.6605224609375,0.6621250510215759
99416.0,1360.7161865234375,0.6620858907699585
99417.0,1360.7633056640625,0.6717295050621033
99418.0,1360.777099609375,0.6366040706634521
99419.0,1360.9451904296875,0.5743136405944824
99420.0,1361.0107421875,0.5694727301597595
99421.0,1361.00146484375,0.5654595494270325
99422.0,1360.940673828125,0.5689525604248047
99423.0,1360.7239990234375,0.5464189648628235
99424.0,1360.3602294921875,0.5964305400848389
99425.0,1360.14599609375,0.6680965423583984
99426.0,1360.2216796875,0.6797294616699219
99427.0,1360.332763671875,0.6869052052497864
99428.0,1360.5421142578125,0.6485665440559387
99429.0,1360.472412109375,0.6694026589393616
99430.0,1360.520751953125,0.6692355275154114
99431.0,1360.65673828125,0.6251842379570007
99432.0,1360.7742919921875,0.5763231515884399
99433.0,1360.8253173828125,0.5519115924835205
99434.0,1360.89111328125,0.5555709004402161
99435.0,1360.983642578125,0.5632116794586182
99436.0,1361.1409912109375,0.5685604810714722
99437.0,1361.128662109375,0.561851441860199
99438.0,1361.197021484375,0.5819370150566101
99439.0,1361.0135498046875,0.6089400053024292
99440.0,1360.9539794921875,0.6021977663040161
99441.0,1360.8157958984375,0.6048164963722229
99442.0,1360.72021484375,0.5991590023040771
99443.0,1360.8319091796875,0.612255871295929
99444.0,1361.0604248046875,0.5874789953231812
99445.0,1361.121826171875,0.5726160407066345
99446.0,1360.705078125,0.6490646600723267
99447.0,1360.8338623046875,0.6307072639465332
99448.0,1360.630126953125,0.6996141672134399
99449.0,1359.9383544921875,0.8175283074378967
99450.0,1359.9874267578125,0.7811447381973267
99451.0,1359.3470458984375,0.9316409230232239
99452.0,1358.58544921875,1.1060823202133179
99453.0,1358.17919921875,1.2036254405975342
99454.0,1358.5679931640625,1.1106321811676025
99455.0,1358.569091796875,1.101262092590332
99456.0,1358.7042236328125,1.0625149011611938
99457.0,1359.92333984375,0.8043703436851501
99458.0,1360.2691650390625,0.7262018322944641
99459.0,1360.6976318359375,0.6290217041969299
99460.0,1360.9747314453125,0.5567301511764526
99461.0,1360.896728515625,0.5028865337371826
99462.0,1360.8548583984375,0.5072324872016907
99463.0,1360.843017578125,0.4891957640647888
99464.0,1361.0240478515625,0.48366957902908325
99465.0,1360.95166015625,0.4708089530467987
99466.0,1360.8306884765625,0.4677526354789734
99467.0,1360.732666015625,0.48585042357444763
99468.0,1360.7012939453125,0.49559399485588074
